Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
83767,02/09/00,1200,36.6,,15.4,,,,,
83767,03/09/00,0,,22,,2.3,0.7,17.24,76.75,1
83767,03/09/00,1200,11.9,,14.8,,,,,
83767,04/09/00,0,,22,,10.7,2.7,16,66,1.333333
83767,04/09/00,1200,0.2,,11.8,,,,,
83767,05/09/00,0,,25.2,,10.6,4.7,18.54,56.25,1
83767,05/09/00,1200,0,,11.5,,,,,
83767,06/09/00,0,,26.4,,9.1,4.9,20.14,59.5,0.333333
83767,06/09/00,1200,0,,13.8,,,,,
83767,07/09/00,0,,26.4,,10.6,5.2,20.2,57.25,1
83767,07/09/00,1200,0,,14.6,,,,,
83767,08/09/00,0,,21,,0,6.7,17.14,91.25,1
83767,08/09/00,1200,6,,14.9,,,,,
83767,09/09/00,0,,25.2,,4.4,1.4,20.88,75.5,1.333333
83767,09/09/00,1200,17.3,,15.8,,,,,
83767,10/09/00,0,,29.8,,9.7,4.4,25,64.75,1.666667
83767,10/09/00,1200,0,,20.5,,,,,
83767,11/09/00,0,,33.1,,10.4,7,25.96,56.75,1
83767,11/09/00,1200,0,,21.8,,,,,
83767,12/09/00,0,,24.7,,0,6.8,19.3,93,1.333333
83767,12/09/00,1200,7,,17,,,,,
83767,13/09/00,0,,22.7,,0,1.1,20,93.25,1
83767,13/09/00,1200,64.3,,17.7,,,,,
